timestamp,call_sign,country,distance,altitude,climbing_rate,latitude,longitude,velocidade,tipo
2024-12-19 06:18:01 UTC,RYR4ET  ,Malta,7618.2,0,n.a.,41.2338,-8.6725,4.644,0
2024-12-19 06:18:01 UTC,RYR6RV  ,Ireland,7692.8,0,n.a.,41.2345,-8.6738,0,0
2024-12-19 06:19:01 UTC,TAY2PO  ,Austria,19444.8,1516.38,-4.2,40.9975,-8.6133,382.24800000000005,0
2024-12-19 06:19:01 UTC,EJU86ND ,Austria,46606.8,4869.18,13.0,41.4084,-8.2252,736.704,0
2024-12-19 06:19:01 UTC,TAP1709 ,Portugal,46031.7,6103.62,13.7,40.928,-9.1197,502.992,0
2024-12-19 06:19:01 UTC,DLH74X  ,Germany,29768.4,2499.36,21.5,41.4321,-8.6742,502.38000000000005,0
2024-12-19 06:19:01 UTC,RYR4ET  ,Malta,7618.2,0,n.a.,41.2338,-8.6725,4.644,0
2024-12-19 06:19:01 UTC,RYR6RV  ,Ireland,7692.8,0,n.a.,41.2345,-8.6738,0,0
2024-12-19 06:20:01 UTC,DLH74X  ,Germany,39152.1,3406.14,6.8,41.5159,-8.66,561.888,0
2024-12-19 06:20:01 UTC,TAY2PO  ,Austria,12505.9,1203.96,-5.8,41.0585,-8.6315,379.54800000000006,0
2024-12-19 06:20:01 UTC,RYR958H ,Ireland,14652.4,876.3,14.3,41.2961,-8.6948,371.916,0
2024-12-19 06:20:01 UTC,EJU34WG ,Austria,8182.8,0,n.a.,41.2389,-8.6784,17.604,0
2024-12-19 06:20:01 UTC,RYR4ET  ,Malta,7618.2,0,n.a.,41.2338,-8.6725,4.644,0
2024-12-19 06:20:01 UTC,RYR6RV  ,Ireland,7681.7,0,n.a.,41.2344,-8.6738,4.644,0
2024-12-19 06:21:01 UTC,RYR958H ,Ireland,21399.2,1760.22,6.2,41.3563,-8.6996,459.18,0
2024-12-19 06:21:01 UTC,TAY2PO  ,Austria,6378.1,876.3,-5.2,41.1132,-8.6459,345.42,0
2024-12-19 06:21:01 UTC,DLH74X  ,Germany,49954,3954.78,15.0,41.6125,-8.6432,670.788,0
2024-12-19 06:21:01 UTC,EJU34WG ,Austria,10891.8,373.38,15.6,41.263,-8.6848,256.104,0
2024-12-19 06:21:01 UTC,RYR4ET  ,Malta,7618.2,0,n.a.,41.2338,-8.6725,4.644,0
2024-12-19 06:21:01 UTC,RYR6RV  ,Ireland,7681.7,0,n.a.,41.2344,-8.6738,4.644,0
2024-12-19 06:22:06 UTC,TAY2PO  ,Austria,1797.8,601.98,-4.2,41.1585,-8.6578,269.856,0
2024-12-19 06:22:06 UTC,EJU34WG ,Austria,16256.8,1059.18,12.7,41.3103,-8.6977,398.44800000000004,0
2024-12-19 06:22:06 UTC,RYR958H ,Ireland,29643.6,2857.5,16.6,41.4306,-8.6848,510.48000000000008,0
2024-12-19 06:22:06 UTC,RYR6RV  ,Ireland,7681.7,0,n.a.,41.2344,-8.6738,4.644,0
2024-12-19 06:23:06 UTC,TAY2PO  ,Austria,3425.5,373.38,-3.9,41.1953,-8.6675,249.15599999999998,0
2024-12-19 06:23:06 UTC,SRR6646 ,Denmark,50482.3,4130.04,-4.9,41.4612,-8.2201,589.716,0
